gene_id,gene_symbol,chr,gene_length
gene_179,ACLY,chr17,4539
gene_180,ACMSD,chr2,1357
gene_181,ACN9,chr7,2057
gene_182,ACO1,chr9,4278
gene_183,ACO2,chr22,2741
gene_184,ACOT11,chr1,5309
gene_185,ACOT12,chr5,2175
gene_186,ACOT13,chr6,4393
gene_187,ACOT1,chr14,2354
gene_188,ACOT2,chr14,2408
gene_189,ACOT4,chr14,1632
gene_190,ACOT6,chr14,1004
gene_191,ACOT7,chr1,2462
gene_192,ACOT8,chr20,4221
gene_193,ACOT9,chrX,2189
gene_194,ACOX1,chr17,8389
gene_195,ACOX2,chr3,2309
gene_196,ACOX3,chr4,3005
gene_197,ACOXL,chr2,3321
gene_198,ACP1,chr2,3097
gene_199,ACP2,chr11,3397
gene_200,ACP5,chr19,2688
gene_201,ACP6,chr1,4313
gene_202,ACPL2,chr3,3389
gene_203,ACPP,chr3,3988
gene_204,ACPT,chr19,1347
gene_205,ACRBP,chr12,2433
gene_206,ACRC,chrX,3178
gene_207,ACRV1,chr11,2177
gene_208,ACR,chr22,2036
gene_209,ACSBG1,chr15,3057
gene_210,ACSBG2,chr19,3646
gene_211,ACSF2,chr17,2562
gene_212,ACSF3,chr16,4532
gene_213,ACSL1,chr4,4627
gene_214,ACSL3,chr2,4361
gene_215,ACSL4,chrX,5812
gene_216,ACSL5,chr10,3826
gene_217,ACSL6,chr5,9667
gene_218,ACSM1,chr16,2685
gene_219,ACSM2A,chr16,4845
gene_220,ACSM2B,chr16,2767
gene_221,ACSM3,chr16,2483
gene_222,ACSM4,chr12,1743
gene_223,ACSM5,chr16,2987
gene_224,ACSS1,chr20,8492
gene_225,ACSS2,chr20,3193
gene_226,ACSS3,chr12,3679
gene_227,ACTA1,chr1,1492
gene_228,ACTA2,chr10,3145
gene_229,ACTBL2,chr5,2794
gene_230,ACTB,chr7,2973
gene_231,ACTC1,chr15,3693
gene_232,ACTG1,chr17,2952
gene_233,ACTG2,chr2,2529
gene_234,ACTL6A,chr3,2158
gene_235,ACTL6B,chr7,1635
gene_236,ACTL7A,chr9,1433
gene_237,ACTL7B,chr9,1407
gene_238,ACTL8,chr1,1861
gene_239,ACTL9,chr19,1422
gene_240,ACTN1,chr14,7641
gene_241,ACTN2,chr1,4909
gene_242,ACTN3,chr11,3510
gene_243,ACTN4,chr19,4295
gene_244,ACTR10,chr14,3180
gene_245,ACTR1A,chr10,2873
gene_246,ACTR1B,chr2,2258
gene_247,ACTR2,chr2,4477
gene_248,ACTR3B,chr7,2217
gene_249,ACTR3C,chr7,1420
gene_250,ACTR3,chr2,5881
gene_251,ACTR5,chr20,2479
gene_252,ACTR6,chr12,3872
gene_253,ACTR8,chr3,4036
gene_254,ACTRT1,chrX,1442
gene_255,ACTRT2,chr1,1422
gene_256,ACVR1B,chr12,5815
gene_257,ACVR1C,chr2,9077
gene_258,ACVR1,chr2,3269
gene_259,ACVR2A,chr2,5713
gene_260,ACVR2B,chr3,11751
gene_261,ACVRL1,chr12,4755
gene_262,ACY1,chr3,2765
gene_263,ACY3,chr11,1300
gene_264,ACYP1,chr14,686
gene_265,ACYP2,chr2,1222
gene_266,ADAD1,chr4,2690
gene_267,ADAD2,chr16,2455
gene_268,ADAL,chr15,4106
gene_269,ADAM10,chr15,6191
gene_270,ADAM11,chr17,4596
gene_271,ADAM12,chr10,7958
gene_272,ADAM15,chr1,6218
gene_273,ADAM17,chr2,5133
gene_274,ADAM18,chr8,3446
gene_275,ADAM19,chr5,7896
gene_276,ADAM20,chr14,2792
gene_277,ADAM21P1,chr14,2049
gene_278,ADAM21,chr14,2664
gene_279,ADAM22,chr7,11696
gene_280,ADAM23,chr2,6434
gene_281,ADAM28,chr8,4091
gene_282,ADAM29,chr4,3440
gene_283,ADAM2,chr8,2866
gene_284,ADAM30,chr1,2992
gene_285,ADAM32,chr8,3495
gene_286,ADAM33,chr20,9353
gene_287,ADAM3A,chr8,3315
gene_288,ADAM5P,chr8,2741
gene_289,ADAM6,chr14,1842
gene_290,ADAM7,chr8,4531
gene_291,ADAM8,chr10,4366
gene_292,ADAM9,chr8,6152
gene_293,ADAMDEC1,chr8,2438
gene_294,ADAMTS10,chr19,5217
gene_295,ADAMTS12,chr5,5305
gene_296,ADAMTS13,chr9,8544
gene_297,ADAMTS14,chr10,7076
gene_298,ADAMTS15,chr11,5676
gene_299,ADAMTS16,chr5,6149
gene_300,ADAMTS17,chr15,8316
gene_301,ADAMTS18,chr16,6621
gene_302,ADAMTS19,chr5,5363
gene_303,ADAMTS1,chr21,4651
gene_304,ADAMTS20,chr12,6981
gene_305,ADAMTS2,chr5,7070
gene_306,ADAMTS3,chr4,6184
gene_307,ADAMTS4,chr1,5234
gene_308,ADAMTS5,chr21,9663
gene_309,ADAMTS6,chr5,8292
gene_310,ADAMTS7,chr15,6762
gene_311,ADAMTS8,chr11,4360
gene_312,ADAMTS9,chr3,9025
gene_313,ADAMTSL1,chr9,12950
gene_314,ADAMTSL2,chr9,5918
gene_315,ADAMTSL3,chr15,8844
gene_316,ADAMTSL4,chr1,5050
gene_317,ADAMTSL5,chr19,3234
gene_318,ADAP1,chr7,3090
gene_319,ADAP2,chr17,2934
gene_320,ADARB1,chr21,12184
gene_321,ADARB2,chr10,9017
gene_322,ADAR,chr1,7676
gene_323,ADAT1,chr16,3658
gene_324,ADAT2,chr6,7493
gene_325,ADAT3,chr19,1626
gene_326,ADA,chr20,1532
gene_327,ADCK1,chr14,3950
gene_328,ADCK2,chr7,2538
gene_329,ADCK4,chr19,4927
gene_330,ADCK5,chr8,2089
gene_331,ADCY10,chr1,6340
gene_332,ADCY1,chr7,13225
gene_333,ADCY2,chr5,6894
gene_334,ADCY3,chr2,4669
gene_335,ADCY4,chr14,5078
gene_336,ADCY5,chr3,7026
gene_337,ADCY6,chr12,9404
gene_338,ADCY7,chr16,6651
gene_339,ADCY8,chr8,4101
gene_340,ADCY9,chr16,7727
gene_341,ADCYAP1R1,chr7,6740
gene_342,ADCYAP1,chr18,3488
gene_343,ADC,chr1,9129
gene_344,ADD1,chr4,12034
gene_345,ADD2,chr2,7462
gene_346,ADD3,chr10,6111
gene_347,ADH1A,chr4,1631
gene_348,ADH1B,chr4,5076
gene_349,ADH1C,chr4,1470
gene_350,ADH4,chr4,2220
gene_351,ADH5,chr4,3971
gene_352,ADH6,chr4,3145
gene_353,ADH7,chr4,2397
gene_354,ADHFE1,chr8,2343
gene_355,ADI1,chr2,4616
gene_356,ADIG,chr20,770
gene_357,ADIPOQ,chr3,4629
gene_358,ADIPOR1,chr1,2572
gene_359,ADIPOR2,chr12,4084
gene_360,ADK,chr10,2439
gene_361,ADM2,chr22,4434
gene_362,ADM,chr11,1449
gene_363,ADNP2,chr18,5387
gene_364,ADNP,chr20,4713
gene_365,ADORA1,chr1,4583
gene_366,ADORA2A,chr22,4253
gene_367,ADORA2B,chr17,1885
gene_368,ADORA3,chr1,3408
gene_369,ADO,chr10,3724
gene_370,ADPGK,chr15,5098
gene_371,ADPRHL1,chr13,2173
gene_372,ADPRHL2,chr1,1691
gene_373,ADPRH,chr3,3842
gene_374,ADRA1A,chr8,4120
gene_375,ADRA1B,chr5,2254
gene_376,ADRA1D,chr20,2666
gene_377,ADRA2A,chr10,3873
gene_378,ADRA2B,chr2,3266
gene_379,ADRA2C,chr4,1958
gene_380,ADRB1,chr10,2862
gene_381,ADRB2,chr5,2042
gene_382,ADRB3,chr8,2646
gene_383,ADRBK1,chr11,3444
gene_384,ADRBK2,chr22,9445
gene_385,ADRM1,chr20,2875
gene_386,ADSL,chr22,1997
gene_387,ADSSL1,chr14,2128
gene_388,ADSS,chr1,3107
gene_389,AEBP1,chr7,4977
gene_390,AEBP2,chr12,9399
gene_391,AEN,chr15,5659
gene_392,AES,chr19,6345
gene_393,AFAP1L1,chr5,4751
gene_394,AFAP1L2,chr10,7734
gene_395,AFAP1,chr4,7770
gene_396,AFARP1,chr1,1324
gene_397,AFF1,chr4,11399
gene_398,AFF2,chrX,14416
gene_399,AFF3,chr2,9093
gene_400,AFF4,chr5,10668
gene_401,AFG3L1,chr16,9754
gene_402,AFG3L2,chr18,3209
gene_403,AFMID,chr17,3619
gene_404,AFM,chr4,1997
gene_405,AFP,chr4,2459
gene_406,AFTPH,chr2,5240
gene_407,AG2,chr11,1328
gene_408,AGAP11,chr10,6030
gene_409,AGAP1,chr2,11367
gene_410,AGAP2,chr12,6205
gene_411,AGAP3,chr7,7738
gene_412,AGAP4,chr10,3076
gene_413,AGAP5,chr10,4136
gene_414,AGAP6,chr10,2772
gene_415,AGAP7,chr10,2431
gene_416,AGAP8,chr10,3424
gene_417,AGA,chr4,2256
gene_418,AGBL1,chr15,4767
gene_419,AGBL2,chr11,3988
gene_420,AGBL3,chr7,3533
gene_421,AGBL4,chr1,6570
gene_422,AGBL5,chr2,3630
gene_423,AGER,chr6,5182
gene_424,AGFG1,chr2,8824
gene_425,AGFG2,chr7,5569
gene_426,AGGF1,chr5,5140
gene_427,AGK,chr7,3878
gene_428,AGL,chr1,8648
gene_429,AGMAT,chr1,3154
gene_430,AGPAT1,chr6,3930
gene_431,AGPAT2,chr9,1548
gene_432,AGPAT3,chr21,7635
gene_433,AGPAT4,chr6,9032
gene_434,AGPAT5,chr8,5519
gene_435,AGPAT6,chr8,6310
gene_436,AGPAT9,chr4,3182
gene_437,AGPHD1,chr15,2194
gene_438,AGPS,chr2,7749
gene_439,AGR2,chr7,1934
gene_440,AGR3,chr7,750
gene_441,AGRN,chr1,7326
gene_442,AGRP,chr16,764
gene_443,AGTPBP1,chr9,5114
gene_444,AGTR1,chr3,2571
gene_445,AGTR2,chrX,2899
gene_446,AGTRAP,chr1,1455
gene_447,AGT,chr1,3356
gene_448,AGXT2L1,chr4,2520
gene_449,AGXT2L2,chr5,5900
gene_450,AGXT2,chr5,3974
gene_451,AGXT,chr2,2928
gene_452,AHCTF1,chr1,8844
gene_453,AHCYL1,chr1,5869
gene_454,AHCYL2,chr7,5887
gene_455,AHCY,chr20,3593
gene_456,AHDC1,chr1,7962
gene_457,AHI1,chr6,6635
gene_458,AHNAK2,chr14,18345
gene_459,AHNAK,chr11,19265
gene_460,AHRR,chr5,7175
gene_461,AHR,chr7,6247
gene_462,AHSA1,chr14,1537
gene_463,AHSA2,chr2,4189
gene_464,AHSG,chr3,2088
gene_465,AHSP,chr16,506
gene_466,AICDA,chr12,2880
gene_467,AIDA,chr1,4806
gene_468,AIF1L,chr9,3877
gene_469,AIF1,chr6,2202
gene_470,AIFM1,chrX,3564
gene_471,AIFM2,chr10,5023
gene_472,AIFM3,chr22,2742
gene_473,AIG1,chr6,5655
gene_474,AIM1L,chr1,5512
gene_475,AIM1,chr6,8139
gene_476,AIM2,chr1,1484
gene_477,AIMP1,chr4,3260
gene_478,AIMP2,chr7,1219
gene_479,AIPL1,chr17,4926
gene_480,AIP,chr11,1233
gene_481,AIRE,chr21,3859
gene_482,AJAP1,chr1,3317
gene_483,AK1,chr9,2266
gene_484,AK2,chr1,6038
gene_485,AK3L1,chr1,7595
gene_486,AK3,chr9,4621
gene_487,AK5,chr1,5882
gene_488,AK7,chr14,4517
gene_489,AKAP10,chr17,4196
gene_490,AKAP11,chr13,9920
gene_491,AKAP12,chr6,9241
gene_492,AKAP13,chr15,17543
gene_493,AKAP14,chrX,1004
gene_494,AKAP1,chr17,5046
gene_495,AKAP2,chr9,7318
gene_496,AKAP3,chr12,3316
gene_497,AKAP4,chrX,6145
gene_498,AKAP5,chr14,6487
gene_499,AKAP6,chr14,12547
gene_500,AKAP7,chr6,3461
gene_501,AKAP8L,chr19,3271
gene_502,AKAP8,chr19,4051
gene_503,AKAP9,chr7,17562
gene_504,AKD1,chr6,9652
gene_505,AKIRIN1,chr1,2726
gene_506,AKIRIN2,chr6,1932
gene_507,AKNAD1,chr1,4158
gene_508,AKNA,chr9,12265
gene_509,AKR1A1,chr1,2493
gene_510,AKR1B10,chr7,1596
gene_511,AKR1B15,chr7,3446
gene_512,AKR1B1,chr7,1398
gene_513,AKR1C1,chr10,2954
gene_514,AKR1C2,chr10,4155
gene_515,AKR1C3,chr10,2729
gene_516,AKR1C4,chr10,1192
gene_517,AKR1CL1,chr10,2127
gene_518,AKR1D1,chr7,3499
gene_519,AKR1E2,chr10,2315
gene_520,AKR7A2,chr1,3143
gene_521,AKR7A3,chr1,1241
gene_522,AKR7L,chr1,2314
gene_523,AKT1S1,chr19,3524
gene_524,AKT1,chr14,5496
gene_525,AKT2,chr19,7557
gene_526,AKT3,chr1,7459
gene_527,AKTIP,chr16,3926
gene_528,ALAD,chr9,3587
gene_529,ALAS1,chr3,2672
gene_530,ALAS2,chrX,2134
gene_531,ALB,chr4,2412
gene_532,ALCAM,chr3,7769
gene_533,ALDH16A1,chr19,3106
gene_534,ALDH18A1,chr10,3616
gene_535,ALDH1A1,chr9,2464
gene_536,ALDH1A2,chr15,4030
gene_537,ALDH1A3,chr15,3495
gene_538,ALDH1B1,chr9,3070
gene_539,ALDH1L1,chr3,12653
gene_540,ALDH1L2,chr12,8559
gene_541,ALDH2,chr12,2060
gene_542,ALDH3A1,chr17,4697
gene_543,ALDH3A2,chr17,4364
gene_544,ALDH3B1,chr11,9935
gene_545,ALDH3B2,chr11,3023
gene_546,ALDH4A1,chr1,4096
gene_547,ALDH5A1,chr6,5170
gene_548,ALDH6A1,chr14,2769
gene_549,ALDH7A1,chr5,5337
gene_550,ALDH8A1,chr6,2599
gene_551,ALDH9A1,chr1,3268
gene_552,ALDOA,chr16,3663
gene_553,ALDOB,chr9,2426
gene_554,ALDOC,chr17,1651
gene_555,ALG10B,chr12,10074
gene_556,ALG10,chr12,3127
gene_557,ALG11,chr13,2007
gene_558,ALG12,chr22,2373
gene_559,ALG13,chrX,7298
gene_560,ALG14,chr1,1057
gene_561,ALG1L2,chr3,1167
gene_562,ALG1L,chr3,921
gene_563,ALG1,chr16,5532
gene_564,ALG2,chr9,2989
gene_565,ALG3,chr3,2604
gene_566,ALG5,chr13,1421
gene_567,ALG6,chr1,3371
gene_568,ALG8,chr11,1838
gene_569,ALG9,chr11,8081
gene_570,ALKBH1,chr14,2585
gene_571,ALKBH2,chr12,1617
gene_572,ALKBH3,chr11,1869
gene_573,ALKBH4,chr7,2228
gene_574,ALKBH5,chr17,3433
gene_575,ALKBH6,chr19,2366
gene_576,ALKBH7,chr19,1331
gene_577,ALKBH8,chr11,4263
gene_578,ALK,chr2,6572
gene_579,ALLC,chr2,2696
gene_580,ALMS1P,chr2,1592
gene_581,ALMS1,chr2,14857
gene_582,ALOX12B,chr17,2502
gene_583,ALOX12P2,chr17,3502
gene_584,ALOX12,chr17,2717
gene_585,ALOX15B,chr17,3474
gene_586,ALOX15,chr17,3271
gene_587,ALOX5AP,chr13,1395
gene_588,ALOX5,chr10,2644
gene_589,ALOXE3,chr17,4299
gene_590,ALPI,chr2,2824
gene_591,ALPK1,chr4,9178
gene_592,ALPK2,chr18,7787
gene_593,ALPK3,chr15,11229
gene_594,ALPL,chr1,2821
gene_595,ALPPL2,chr2,2494
gene_596,ALPP,chr2,2867
gene_597,ALS2CL,chr3,5790
gene_598,ALS2CR11,chr2,7707
gene_599,ALS2CR12,chr2,2555
gene_600,ALS2CR4,chr2,6137
gene_601,ALS2CR8,chr2,8103
gene_602,ALS2,chr2,11224
gene_603,ALX1,chr12,1293
gene_604,ALX3,chr1,1478
gene_605,ALX4,chr11,5466
gene_606,AMAC1L2,chr8,1201
gene_607,AMAC1L3,chr17,1195
gene_608,AMAC1,chr17,1874
gene_609,AMACR,chr5,5632
gene_610,AMBN,chr4,2002
gene_611,AMBP,chr9,2429
gene_612,AMBRA1,chr11,7000
gene_613,AMD1,chr6,3616
gene_614,AMDHD1,chr12,2136
gene_615,AMDHD2,chr16,2511
gene_616,AMELX,chrX,835
gene_617,AMELY,chrY,844
gene_618,AMFR,chr16,3600
gene_619,AMHR2,chr12,4158
gene_620,AMH,chr19,2018
gene_621,AMICA1,chr11,4909
gene_622,AMIGO1,chr1,2471
gene_623,AMIGO2,chr12,4058
gene_624,AMIGO3,chr3,2972
gene_625,AMMECR1L,chr2,4776
gene_626,AMMECR1,chrX,6158
gene_627,AMN1,chr12,2590
gene_628,AMN,chr14,2465
gene_629,AMOTL1,chr11,8999
gene_630,AMOTL2,chr3,6252
gene_631,AMOT,chrX,7920
gene_632,AMPD1,chr1,2406
gene_633,AMPD2,chr1,5672
gene_634,AMPD3,chr11,6225
gene_635,AMPH,chr7,5513
gene_636,AMTN,chr4,1077
gene_637,AMT,chr3,3466
gene_638,AMY1A,chr1,6090
gene_639,AMY2A,chr1,2000
gene_640,AMY2B,chr1,7543
gene_641,AMZ1,chr7,4924
gene_642,AMZ2P1,chr17,4332
gene_643,AMZ2,chr17,3570
gene_644,ANAPC10,chr4,2042
gene_645,ANAPC11,chr17,1743
gene_646,ANAPC13,chr3,2201
gene_647,ANAPC16,chr10,4636
gene_648,ANAPC1,chr2,7736
gene_649,ANAPC2,chr9,4242
gene_650,ANAPC4,chr4,4190
gene_651,ANAPC5,chr12,4879
gene_652,ANAPC7,chr12,3795
gene_653,ANGEL1,chr14,4111
gene_654,ANGEL2,chr1,5890
gene_655,ANGPT1,chr8,5544
gene_656,ANGPT2,chr8,6868
gene_657,ANGPT4,chr20,1921
gene_658,ANGPTL1,chr1,4483
gene_659,ANGPTL2,chr9,3572
gene_660,ANGPTL3,chr1,2951
gene_661,ANGPTL4,chr19,2317
gene_662,ANGPTL5,chr11,2368
gene_663,ANGPTL6,chr19,1963
gene_664,ANGPTL7,chr1,2290
gene_665,ANG,chr14,1324
gene_666,ANK1,chr8,9420
gene_667,ANK2,chr4,15252
gene_668,ANK3,chr10,20233
gene_669,ANKAR,chr2,6339
gene_670,ANKDD1A,chr15,4792
gene_671,ANKFN1,chr17,2426
gene_672,ANKFY1,chr17,9887
gene_673,ANKHD1-EIF4EBP3,chr5,8750
gene_674,ANKHD1,chr5,8948
gene_675,ANKH,chr5,8207
gene_676,ANKIB1,chr7,6081
gene_677,ANKK1,chr11,2543
gene_678,ANKLE1,chr19,4445
gene_679,ANKLE2,chr12,4906
gene_680,ANKMY1,chr2,6413
gene_681,ANKMY2,chr7,2667
gene_682,ANKRA2,chr5,2198
gene_683,ANKRD10,chr13,3551
gene_684,ANKRD11,chr16,14828
gene_685,ANKRD12,chr18,11865
gene_686,ANKRD13A,chr12,6382
gene_687,ANKRD13B,chr17,4376
gene_688,ANKRD13C,chr1,5667
gene_689,ANKRD13D,chr11,6107
gene_690,ANKRD16,chr10,2829
gene_691,ANKRD17,chr4,9846
gene_692,ANKRD19,chr9,2688
gene_693,ANKRD1,chr10,1974
gene_694,ANKRD20A3,chr9,12138
gene_695,ANKRD20A4,chr9,3858
gene_696,ANKRD20B,chr2,9245
gene_697,ANKRD22,chr10,3983
gene_698,ANKRD23,chr2,3903
gene_699,ANKRD24,chr19,4122
gene_700,ANKRD26P1,chr16,6320
gene_701,ANKRD26,chr10,7094
gene_702,ANKRD27,chr19,6642
gene_703,ANKRD28,chr3,11844
gene_704,ANKRD29,chr18,2273
gene_705,ANKRD2,chr10,1451
gene_706,ANKRD30A,chr10,4671
gene_707,ANKRD30B,chr18,5845
gene_708,ANKRD31,chr5,6036
gene_709,ANKRD32,chr5,4370
gene_710,ANKRD33,chr12,7118
gene_711,ANKRD34A,chr1,3612
gene_712,ANKRD34B,chr5,4181
gene_713,ANKRD34C,chr15,5424
gene_714,ANKRD35,chr1,3363
gene_715,ANKRD36BP1,chr1,1850
gene_716,ANKRD36B,chr2,6872
gene_717,ANKRD36,chr2,10132
gene_718,ANKRD37,chr4,1993
gene_719,ANKRD39,chr2,898
gene_720,ANKRD40,chr17,4169
gene_721,ANKRD42,chr11,5966
gene_722,ANKRD43,chr5,3457
gene_723,ANKRD44,chr2,11771
gene_724,ANKRD45,chr1,4464
gene_725,ANKRD46,chr8,5539
gene_726,ANKRD49,chr11,5522
gene_727,ANKRD50,chr4,8797
gene_728,ANKRD52,chr12,8789
gene_729,ANKRD53,chr2,2120
gene_730,ANKRD54,chr22,2193
gene_731,ANKRD55,chr5,2837
gene_732,ANKRD56,chr4,2921
gene_733,ANKRD57,chr2,4654
gene_734,ANKRD58,chrX,1590
gene_735,ANKRD5,chr20,3869
gene_736,ANKRD6,chr6,6861
gene_737,ANKRD7,chr7,1357
gene_738,ANKRD9,chr14,1969
gene_739,ANKS1A,chr6,7382
gene_740,ANKS1B,chr12,11741
gene_741,ANKS3,chr16,6815
gene_742,ANKS4B,chr16,2906
gene_743,ANKS6,chr9,9762
gene_744,ANKZF1,chr2,5369
gene_745,ANLN,chr7,5208
gene_746,ANO10,chr3,2854
gene_747,ANO1,chr11,6534
gene_748,ANO2,chr12,5144
gene_749,ANO3,chr11,6199
gene_750,ANO4,chr12,4936
gene_751,ANO5,chr11,6709
gene_752,ANO6,chr12,7314
gene_753,ANO7,chr2,4588
gene_754,ANO8,chr19,5532
gene_755,ANO9,chr11,3376
gene_756,ANP32A,chr15,2466
gene_757,ANP32B,chr9,1616
gene_758,ANP32C,chr4,705
gene_759,ANP32D,chr12,396
gene_760,ANP32E,chr1,5891
gene_761,ANPEP,chr15,3650
gene_762,ANTXR1,chr2,7725
gene_763,ANTXR2,chr4,9020
gene_764,ANTXRL,,
gene_765,ANUBL1,chr10,6077
gene_766,ANXA10,chr4,1590
gene_767,ANXA11,chr10,4448
gene_768,ANXA13,chr8,1593
gene_769,ANXA1,chr9,3026
gene_770,ANXA2P1,chr4,1343
gene_771,ANXA2P2,chr9,1310
gene_772,ANXA2P3,chr10,1350
gene_773,ANXA2,chr15,2596
gene_774,ANXA3,chr4,1618
gene_775,ANXA4,chr2,3176
gene_776,ANXA5,chr4,1678
gene_777,ANXA6,chr5,3209
